Année de Year Date;Adjusted for Inflation Notes;Adjusted for Inflation Title;Format;Metric;Year;Value (For Charting);Adjusted for Inflation Flag;Year Date;Format Value # (Billion);Format Value # (Million);Total Value # (Billion);Total Value # (Million);Total Value For Year;Value (Actual);Year (copy)
1999;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1999;1941,6; (adjusted for inflation, 2023 dollars);1999;€1,9B;;€26,7B;;€26674,7B;1941,6;1999
2000;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);2000;1107,7; (adjusted for inflation, 2023 dollars);2000;€1,1B;;€25,3B;;€25345,2B;1107,7;2000
2001;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);2001;625,2; (adjusted for inflation, 2023 dollars);2001;;€625,2M;€23,7B;;€23650,3B;625,2;2001
2002;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);2002;355,3; (adjusted for inflation, 2023 dollars);2002;;€355,3M;€21,4B;;€21367,8B;355,3;2002
2003;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);2003;179; (adjusted for inflation, 2023 dollars);2003;;€179,0M;€19,6B;;€19630,7B;179;2003
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);2004;38,2; (adjusted for inflation, 2023 dollars);2004;;€38,2M;€19,9B;;€19913,0B;38,2;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);2005;20,4; (adjusted for inflation, 2023 dollars);2005;;€20,4M;€19,2B;;€19174,4B;20,4;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);2006;5,6; (adjusted for inflation, 2023 dollars);2006;;€5,6M;€17,8B;;€17773,5B;5,6;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);2007;4,4; (adjusted for inflation, 2023 dollars);2007;;€4,4M;€15,7B;;€15652,2B;4,4;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);2008;1,3; (adjusted for inflation, 2023 dollars);2008;;€1,3M;€12,4B;;€12421,1B;1,3;2008
1987;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1987;38,4; (adjusted for inflation, 2023 dollars);1987;;€38,4M;€14,9B;;€14924,0B;38,4;1987
1988;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1988;147,6; (adjusted for inflation, 2023 dollars);1988;;€147,6M;€16,1B;;€16110,1B;147,6;1988
1989;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1989;478,2; (adjusted for inflation, 2023 dollars);1989;;€478,2M;€16,2B;;€16169,3B;478,2;1989
1990;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1990;601,2; (adjusted for inflation, 2023 dollars);1990;;€601,2M;€17,6B;;€17580,6B;601,2;1990
1991;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1991;515,4; (adjusted for inflation, 2023 dollars);1991;;€515,4M;€17,5B;;€17526,4B;515,4;1991
1992;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1992;648,9; (adjusted for inflation, 2023 dollars);1992;;€648,9M;€19,6B;;€19598,0B;648,9;1992
1993;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1993;629,4; (adjusted for inflation, 2023 dollars);1993;;€629,4M;€21,2B;;€21185,0B;629,4;1993
1994;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1994;565,2; (adjusted for inflation, 2023 dollars);1994;;€565,2M;€24,8B;;€24811,9B;565,2;1994
1995;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1995;472,4; (adjusted for inflation, 2023 dollars);1995;;€472,4M;€24,6B;;€24632,7B;472,4;1995
1996;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1996;367,6; (adjusted for inflation, 2023 dollars);1996;;€367,6M;€24,3B;;€24340,7B;367,6;1996
1997;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1997;253,4; (adjusted for inflation, 2023 dollars);1997;;€253,4M;€23,2B;;€23231,0B;253,4;1997
1998;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1998;176,5; (adjusted for inflation, 2023 dollars);1998;;€176,5M;€25,6B;;€25630,9B;176,5;1998
1999;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);1999;87,8; (adjusted for inflation, 2023 dollars);1999;;€87,8M;€26,7B;;€26674,7B;87,8;1999
2000;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette Single;Value (Adjusted);2000;8,1; (adjusted for inflation, 2023 dollars);2000;;€8,1M;€25,3B;;€25345,2B;8,1;2000
2001;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2001;10,3; (adjusted for inflation, 2023 dollars);2001;;€10,3M;€23,7B;;€23650,3B;10,3;2001
2002;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2002;14,4; (adjusted for inflation, 2023 dollars);2002;;€14,4M;€21,4B;;€21367,8B;14,4;2002
2003;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2003;13,2; (adjusted for inflation, 2023 dollars);2003;;€13,2M;€19,6B;;€19630,7B;13,2;2003
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2004;10,5; (adjusted for inflation, 2023 dollars);2004;;€10,5M;€19,9B;;€19913,0B;10,5;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2005;17,5; (adjusted for inflation, 2023 dollars);2005;;€17,5M;€19,2B;;€19174,4B;17,5;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2006;3,6; (adjusted for inflation, 2023 dollars);2006;;€3,6M;€17,8B;;€17773,5B;3,6;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2007;4,1; (adjusted for inflation, 2023 dollars);2007;;€4,1M;€15,7B;;€15652,2B;4,1;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2008;1,7; (adjusted for inflation, 2023 dollars);2008;;€1,7M;€12,4B;;€12421,1B;1,7;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2009;2,3; (adjusted for inflation, 2023 dollars);2009;;€2,3M;€11,1B;;€11122,4B;2,3;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2010;1,3; (adjusted for inflation, 2023 dollars);2010;;€1,3M;€9,8B;;€9800,8B;1,3;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2011;0,4; (adjusted for inflation, 2023 dollars);2011;;€0,4M;€9,7B;;€9665,7B;0,4;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2012;0,2; (adjusted for inflation, 2023 dollars);2012;;€0,2M;€9,3B;;€9310,9B;0,2;2012
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2014;2,8; (adjusted for inflation, 2023 dollars);2014;;€2,8M;€8,6B;;€8616,8B;2,8;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2015;7; (adjusted for inflation, 2023 dollars);2015;;€7,0M;€8,6B;;€8627,1B;7;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2016;3,6; (adjusted for inflation, 2023 dollars);2016;;€3,6M;€9,5B;;€9510,9B;3,6;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2017;0,4; (adjusted for inflation, 2023 dollars);2017;;€0,4M;€10,6B;;€10570,2B;0,4;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2018;0,4; (adjusted for inflation, 2023 dollars);2018;;€0,4M;€11,8B;;€11816,7B;0,4;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2019;1,5; (adjusted for inflation, 2023 dollars);2019;;€1,5M;€13,2B;;€13248,7B;1,5;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2020;2,2; (adjusted for inflation, 2023 dollars);2020;;€2,2M;€14,3B;;€14326,3B;2,2;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2021;6,5; (adjusted for inflation, 2023 dollars);2021;;€6,5M;€16,9B;;€16893,6B;6,5;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;DVD Audio;Value (Adjusted);2022;0,1; (adjusted for inflation, 2023 dollars);2022;;€0,1M;€16,5B;;€16547,4B;0,1;2022
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2004;73,4; (adjusted for inflation, 2023 dollars);2004;;€73,4M;€19,9B;;€19913,0B;73,4;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2005;211,7; (adjusted for inflation, 2023 dollars);2005;;€211,7M;€19,2B;;€19174,4B;211,7;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2006;417; (adjusted for inflation, 2023 dollars);2006;;€417,0M;€17,8B;;€17773,5B;417;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2007;731; (adjusted for inflation, 2023 dollars);2007;;€731,0M;€15,7B;;€15652,2B;731;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2008;899,1; (adjusted for inflation, 2023 dollars);2008;;€899,1M;€12,4B;;€12421,1B;899,1;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2009;1057,1; (adjusted for inflation, 2023 dollars);2009;€1,1B;;€11,1B;;€11122,4B;1057,1;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2010;1219,1; (adjusted for inflation, 2023 dollars);2010;€1,2B;;€9,8B;;€9800,8B;1219,1;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2011;1450,5; (adjusted for inflation, 2023 dollars);2011;€1,5B;;€9,7B;;€9665,7B;1450,5;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2012;1599; (adjusted for inflation, 2023 dollars);2012;€1,6B;;€9,3B;;€9310,9B;1599;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2013;1611,6; (adjusted for inflation, 2023 dollars);2013;€1,6B;;€9,2B;;€9201,8B;1611,6;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2014;1438,8; (adjusted for inflation, 2023 dollars);2014;€1,4B;;€8,6B;;€8616,8B;1438,8;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2015;1368,4; (adjusted for inflation, 2023 dollars);2015;€1,4B;;€8,6B;;€8627,1B;1368,4;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2016;1102,7; (adjusted for inflation, 2023 dollars);2016;€1,1B;;€9,5B;;€9510,9B;1102,7;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2017;807,7; (adjusted for inflation, 2023 dollars);2017;;€807,7M;€10,6B;;€10570,2B;807,7;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2018;601; (adjusted for inflation, 2023 dollars);2018;;€601,0M;€11,8B;;€11816,7B;601;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2019;439,2; (adjusted for inflation, 2023 dollars);2019;;€439,2M;€13,2B;;€13248,7B;439,2;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2020;375,9; (adjusted for inflation, 2023 dollars);2020;;€375,9M;€14,3B;;€14326,3B;375,9;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2021;341; (adjusted for inflation, 2023 dollars);2021;;€341,0M;€16,9B;;€16893,6B;341;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2022;251,8; (adjusted for inflation, 2023 dollars);2022;;€251,8M;€16,5B;;€16547,4B;251,8;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Album;Value (Adjusted);2023;204,7; (adjusted for inflation, 2023 dollars);2023;;€204,7M;€17,1B;;€17115,2B;204,7;2023
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2005;5,8; (adjusted for inflation, 2023 dollars);2005;;€5,8M;€19,2B;;€19174,4B;5,8;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2006;29,8; (adjusted for inflation, 2023 dollars);2006;;€29,8M;€17,8B;;€17773,5B;29,8;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2007;41,4; (adjusted for inflation, 2023 dollars);2007;;€41,4M;€15,7B;;€15652,2B;41,4;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2008;58,4; (adjusted for inflation, 2023 dollars);2008;;€58,4M;€12,4B;;€12421,1B;58,4;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2009;58,1; (adjusted for inflation, 2023 dollars);2009;;€58,1M;€11,1B;;€11122,4B;58,1;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2010;51,1; (adjusted for inflation, 2023 dollars);2010;;€51,1M;€9,8B;;€9800,8B;51,1;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2011;43,9; (adjusted for inflation, 2023 dollars);2011;;€43,9M;€9,7B;;€9665,7B;43,9;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2012;27,7; (adjusted for inflation, 2023 dollars);2012;;€27,7M;€9,3B;;€9310,9B;27,7;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2013;21,9; (adjusted for inflation, 2023 dollars);2013;;€21,9M;€9,2B;;€9201,8B;21,9;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2014;17,5; (adjusted for inflation, 2023 dollars);2014;;€17,5M;€8,6B;;€8616,8B;17,5;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2015;8,2; (adjusted for inflation, 2023 dollars);2015;;€8,2M;€8,6B;;€8627,1B;8,2;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2016;5,4; (adjusted for inflation, 2023 dollars);2016;;€5,4M;€9,5B;;€9510,9B;5,4;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2017;3,5; (adjusted for inflation, 2023 dollars);2017;;€3,5M;€10,6B;;€10570,2B;3,5;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2018;2,7; (adjusted for inflation, 2023 dollars);2018;;€2,7M;€11,8B;;€11816,7B;2,7;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2019;2,2; (adjusted for inflation, 2023 dollars);2019;;€2,2M;€13,2B;;€13248,7B;2,2;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2020;2,1; (adjusted for inflation, 2023 dollars);2020;;€2,1M;€14,3B;;€14326,3B;2,1;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2021;2,2; (adjusted for inflation, 2023 dollars);2021;;€2,2M;€16,9B;;€16893,6B;2,2;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Music Video;Value (Adjusted);2022;1,4; (adjusted for inflation, 2023 dollars);2022;;€1,4M;€16,5B;;€16547,4B;1,4;2022
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2004;222,6; (adjusted for inflation, 2023 dollars);2004;;€222,6M;€19,9B;;€19913,0B;222,6;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2005;566,8; (adjusted for inflation, 2023 dollars);2005;;€566,8M;€19,2B;;€19174,4B;566,8;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2006;877,5; (adjusted for inflation, 2023 dollars);2006;;€877,5M;€17,8B;;€17773,5B;877,5;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2007;1191,8; (adjusted for inflation, 2023 dollars);2007;€1,2B;;€15,7B;;€15652,2B;1191,8;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2008;1460,8; (adjusted for inflation, 2023 dollars);2008;€1,5B;;€12,4B;;€12421,1B;1460,8;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2009;1664,6; (adjusted for inflation, 2023 dollars);2009;€1,7B;;€11,1B;;€11122,4B;1664,6;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2010;1867,4; (adjusted for inflation, 2023 dollars);2010;€1,9B;;€9,8B;;€9800,8B;1867,4;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2011;2062,2; (adjusted for inflation, 2023 dollars);2011;€2,1B;;€9,7B;;€9665,7B;2062,2;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2012;2182,6; (adjusted for inflation, 2023 dollars);2012;€2,2B;;€9,3B;;€9310,9B;2182,6;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2013;2058; (adjusted for inflation, 2023 dollars);2013;€2,1B;;€9,2B;;€9201,8B;2058;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2014;1744,4; (adjusted for inflation, 2023 dollars);2014;€1,7B;;€8,6B;;€8616,8B;1744,4;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2015;1523,7; (adjusted for inflation, 2023 dollars);2015;€1,5B;;€8,6B;;€8627,1B;1523,7;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2016;1142,8; (adjusted for inflation, 2023 dollars);2016;€1,1B;;€9,5B;;€9510,9B;1142,8;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2017;830,2; (adjusted for inflation, 2023 dollars);2017;;€830,2M;€10,6B;;€10570,2B;830,2;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2018;594,4; (adjusted for inflation, 2023 dollars);2018;;€594,4M;€11,8B;;€11816,7B;594,4;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2019;480,3; (adjusted for inflation, 2023 dollars);2019;;€480,3M;€13,2B;;€13248,7B;480,3;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2020;365,4; (adjusted for inflation, 2023 dollars);2020;;€365,4M;€14,3B;;€14326,3B;365,4;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2021;302,4; (adjusted for inflation, 2023 dollars);2021;;€302,4M;€16,9B;;€16893,6B;302,4;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2022;223; (adjusted for inflation, 2023 dollars);2022;;€223,0M;€16,5B;;€16547,4B;223;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Download Single;Value (Adjusted);2023;190,8; (adjusted for inflation, 2023 dollars);2023;;€190,8M;€17,1B;;€17115,2B;190,8;2023
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2005;1,6; (adjusted for inflation, 2023 dollars);2005;;€1,6M;€19,2B;;€19174,4B;1,6;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2006;2,9; (adjusted for inflation, 2023 dollars);2006;;€2,9M;€17,8B;;€17773,5B;2,9;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2007;3,8; (adjusted for inflation, 2023 dollars);2007;;€3,8M;€15,7B;;€15652,2B;3,8;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2008;3,7; (adjusted for inflation, 2023 dollars);2008;;€3,7M;€12,4B;;€12421,1B;3,7;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2009;8,9; (adjusted for inflation, 2023 dollars);2009;;€8,9M;€11,1B;;€11122,4B;8,9;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2010;8,9; (adjusted for inflation, 2023 dollars);2010;;€8,9M;€9,8B;;€9800,8B;8,9;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2011;3,7; (adjusted for inflation, 2023 dollars);2011;;€3,7M;€9,7B;;€9665,7B;3,7;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2012;4,8; (adjusted for inflation, 2023 dollars);2012;;€4,8M;€9,3B;;€9310,9B;4,8;2012
